id,name,code,parent_id
34cacb9d-3165-4a73-ab3e-25920eedcc2c,Plastics welding and processing,plastics-welding-and-processing,9c65b981-ffca-4b5f-be3a-e178d7171652
9c65b981-ffca-4b5f-be3a-e178d7171652,Plastic processing technology,plastic-processing-technology,0383fa41-2ed1-4abd-89ee-c9d122ab25ed
44b679f2-e3f5-4dc6-981f-8692010771c6,Plastic profiles,plastic-profiles,0383fa41-2ed1-4abd-89ee-c9d122ab25ed
0383fa41-2ed1-4abd-89ee-c9d122ab25ed,Plastic and Rubber,plastic-and-rubber,aa3025eb-3e28-44a6-be01-feaf6c01df35
0c0fccc4-0660-404c-bd41-59118a90b58a,Advertising,advertising,6d6766f8-4ef5-4208-b522-9c9e6104294f
ae989572-6222-4531-a406-94867c68eeb9,Book/Periodicals printing,book-periodicals-printing,6d6766f8-4ef5-4208-b522-9c9e6104294f
aac3b9f0-9552-4380-be8a-2b147c0a3509,Labelling and packaging printing,labelling-and-packaging-printing,6d6766f8-4ef5-4208-b522-9c9e6104294f
6d6766f8-4ef5-4208-b522-9c9e6104294f,Printing,printing,aa3025eb-3e28-44a6-be01-feaf6c01df35
80184da9-d394-484a-a915-a2d6f5474f97,Clothing,clothing,0df5e2a1-20a5-437d-b44b-82b99ed0509c
fa86deb1-531b-4b1e-9759-985641e52689,Textile,textile,0df5e2a1-20a5-437d-b44b-82b99ed0509c
0df5e2a1-20a5-437d-b44b-82b99ed0509c,Textile and Clothing,textile-and-clothing,aa3025eb-3e28-44a6-be01-feaf6c01df35
222fe2d8-0f50-4dfe-9d8e-aedbc487138d,Other (Wood),other-wood,161436bb-31a9-4472-856a-36b39cd35157
72ef84db-acdf-4837-b1ae-9bace95f8321,Wooden building materials,wooden-building-materials,161436bb-31a9-4472-856a-36b39cd35157
58699f9b-cea3-4e7c-960d-aca5fdf2a4ac,Wooden houses,wooden-houses,161436bb-31a9-4472-856a-36b39cd35157
161436bb-31a9-4472-856a-36b39cd35157,Wood,wood,aa3025eb-3e28-44a6-be01-feaf6c01df35
914a04d5-11c8-4d94-98d3-43f9ea76010e,Creative industries,creative-industries,f05de94e-7135-4c1b-9d45-86cb98e7d4f6
add7065b-929e-495e-9ea5-8c105443e4aa,Energy technology,energy-technology,f05de94e-7135-4c1b-9d45-86cb98e7d4f6
00dbd1bf-644f-4c3d-81c5-2fde29e262ad,Environment,environment,f05de94e-7135-4c1b-9d45-86cb98e7d4f6
0e258155-57d2-4419-8870-f27bac667965,Business services,business-services,d6ef3b58-e722-477e-a3f0-e32e5bb23837
d02ad56c-e2cc-42f4-93fd-abc54b6b6a0e,Engineering,engineering,d6ef3b58-e722-477e-a3f0-e32e5bb23837
372d4412-b5d8-4987-b7dd-7d16e61b575e,"Data processing, Web portals, E-marketing",data-processing-web-portals-e-marketing,981ff924-285a-42ac-9f9a-6d04b0ee58e0
b603abba-f102-4d89-a476-4c12f96aa10a,"Programming, Consultancy",programming-consultancy,981ff924-285a-42ac-9f9a-6d04b0ee58e0
9549d297-391c-44d0-8188-5fc71c6fd343,"Software, Hardware",software-hardware,981ff924-285a-42ac-9f9a-6d04b0ee58e0
98682abd-ddba-4562-b880-12551c338fea,Telecommunications,telecommunications,981ff924-285a-42ac-9f9a-6d04b0ee58e0
981ff924-285a-42ac-9f9a-6d04b0ee58e0,Information Technology and Telecommunications,information-technology-and-telecommunications,d6ef3b58-e722-477e-a3f0-e32e5bb23837
c133b159-6c8a-4d03-95c5-19ada8aad598,Tourism,tourism,d6ef3b58-e722-477e-a3f0-e32e5bb23837
5e5755c8-bca7-4914-ba41-54e7334d86e4,Translation services,translation-services,d6ef3b58-e722-477e-a3f0-e32e5bb23837
b465f253-d820-4024-9610-76b45ca8d602,Air,air,8d38110d-0f43-4e01-a177-56d225bd874c
8f9e4a6c-dd04-4faf-bb22-2609c3b1c812,Rail,rail,8d38110d-0f43-4e01-a177-56d225bd874c
e575666b-0344-45ba-ad15-09cb9f7b3bf0,Road,road,8d38110d-0f43-4e01-a177-56d225bd874c
a35db4fc-6df0-4447-a45a-a191f59c6e5c,Water,water,8d38110d-0f43-4e01-a177-56d225bd874c
8d38110d-0f43-4e01-a177-56d225bd874c,Transport and Logistics,transport-and-logistics,d6ef3b58-e722-477e-a3f0-e32e5bb23837
